"Country Name","Country Code","Region","Income_Group",
"Aruba","ABW","","Ingreso alto",
"","AFE","","Agregados",
"Afganistán","AFG","Asia meridional","Países de ingreso bajo",
"","AFW","","Agregados",
"Angola","AGO","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Albania","ALB","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Andorra","AND","","Ingreso alto",
"El mundo árabe","ARB","","Agregados",
"Emiratos Árabes Unidos","ARE","","Ingreso alto",
"Argentina","ARG","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Armenia","ARM","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Samoa Americana","ASM","","Ingreso alto",
"Antigua y Barbuda","ATG","","Ingreso alto",
"Australia","AUS","","Ingreso alto",
"Austria","AUT","","Ingreso alto",
"Azerbaiyán","AZE","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Burundi","BDI","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Bélgica","BEL","","Ingreso alto",
"Benin","BEN","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Burkina Faso","BFA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Bangladesh","BGD","Asia meridional","Países de ingreso mediano bajo",
"Bulgaria","BGR","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Bahrein","BHR","","Ingreso alto",
"Bahamas","BHS","","Ingreso alto",
"Bosnia y Herzegovina","BIH","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Belarús","BLR","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Belice","BLZ","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Bermudas","BMU","","Ingreso alto",
"Bolivia","BOL","América Latina y el Caribe (excluido altos ingresos)","Países de ingreso mediano bajo",
"Brasil","BRA","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Barbados","BRB","","Ingreso alto",
"Brunei Darussalam","BRN","","Ingreso alto",
"Bhután","BTN","Asia meridional","Países de ingreso mediano bajo",
"Botswana","BWA","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"República Centroafricana","CAF","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Canadá","CAN","","Ingreso alto",
"Europa Central y del Báltico
","CEB","","Agregados",
"Suiza","CHE","","Ingreso alto",
"Islas del Canal","CHI","","Ingreso alto",
"Chile","CHL","","Ingreso alto",
"China","CHN","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Côte d'Ivoire","CIV","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Camerún","CMR","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Congo, República Democrática del","COD","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Congo, República del","COG","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Colombia","COL","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Comoras","COM","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Cabo Verde","CPV","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Costa Rica","CRI","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Estados pequeos del Caribe","CSS","","Agregados",
"Cuba","CUB","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Curacao","CUW","","Ingreso alto",
"Islas Caimán","CYM","","Ingreso alto",
"Chipre","CYP","","Ingreso alto",
"República Checa","CZE","","Ingreso alto",
"Alemania","DEU","","Ingreso alto",
"Djibouti","DJI","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
