,anio,pais,remittance
0,2012,India,68820.51783765353
1,2013,India,69970.36084678584
2,2014,India,70388.6427965471
3,2015,India,68909.69335283508
4,2016,India,62744.36408995114
5,2017,India,68967.17549986654
6,2018,India,78790.1709286742
7,2019,India,83332.07800230315
8,2020,India,83149.1729341043
9,2021,India,89375.15221756576
10,2022,India,111221.77472208794
11,2023,India,108482.97194132177
12,2024,India,116490.32976249565
13,2025,India,125164.96740210068
14,2012,Mexico,23208.64919
15,2013,Mexico,23188.811955
16,2014,Mexico,24802.081325
17,2015,Mexico,26233.171803
18,2016,Mexico,28690.957406
19,2017,Mexico,32270.507679
20,2018,Mexico,35768.416627
21,2019,Mexico,39021.789685
22,2020,Mexico,42878.274907000006
23,2021,Mexico,54130.298399
24,2022,Mexico,61099.60791499999
25,2023,Mexico,66530.70813881818
26,2024,Mexico,74606.87942662847
27,2025,Mexico,83356.06498842294
28,2012,China,57986.598422
29,2013,China,59491.287194
30,2014,China,62332.342308
31,2015,China,63937.646592
32,2016,China,60999.999488
33,2017,China,63875.674112
34,2018,China,67413.592064
35,2019,China,68398.47511360464
36,2020,China,59506.67334883603
37,2021,China,53000.0
38,2022,China,51000.0
39,2023,China,54260.8120124844
40,2024,China,52575.2778661181
41,2025,China,50749.28254088794
42,2012,Philippines,24609.67961274453
43,2013,Philippines,26716.84026910559
44,2014,Philippines,28690.79789649841
45,2015,Philippines,29799.39569987795
46,2016,Philippines,31141.97347532936
47,2017,Philippines,32809.77043390869
48,2018,Philippines,33808.96798626656
49,2019,Philippines,35167.471832184485
50,2020,Philippines,34882.84455007751
51,2021,Philippines,36685.313168048
52,2022,Philippines,38048.7244
53,2023,Philippines,41667.89150110353
54,2024,Philippines,44181.370406750124
55,2025,Philippines,46904.30588786726
56,2012,France,22666.366758942186
57,2013,France,24412.28215306871
58,2014,France,25358.374728240145
59,2015,France,24066.98983709343
60,2016,France,24042.348847356203
61,2017,France,24884.54785586625
62,2018,France,26229.274711196893
63,2019,France,30024.725081068365
64,2020,France,28823.157458081463
65,2021,France,32077.31221522363
66,2022,France,30044.437807459508
67,2023,France,33499.44537099306
68,2024,France,35298.59355187828
69,2025,France,37247.67074783727
