Country of birth/nationality,Country,Year,value,aux
India,Australia,2012,27830.0,2012India
India,Canada,2012,30915.0,2012India
India,Germany,2012,18063.0,2012India
India,New Zealand,2012,8564.0,2012India
India,United States,2012,64694.0,2012India
Mexico,Canada,2012,4227.0,2012Mexico
Mexico,France,2012,714.0,2012Mexico
Mexico,Germany,2012,3485.0,2012Mexico
Mexico,Spain,2012,4294.0,2012Mexico
Mexico,United States,2012,145955.0,2012Mexico
China,Australia,2012,25308.0,2012China
China,Canada,2012,33009.0,2012China
China,Japan,2012,106957.0,2012China
China,Korea,2012,127289.0,2012China
China,United States,2012,82366.0,2012China
Philippines,Australia,2012,12777.0,2012Philippines
Philippines,Canada,2012,34299.0,2012Philippines
Philippines,Japan,2012,15412.0,2012Philippines
Philippines,Korea,2012,9858.0,2012Philippines
Philippines,United States,2012,56919.0,2012Philippines
France,Belgium,2012,12392.0,2012France
France,Canada,2012,6270.0,2012France
France,Germany,2012,14458.0,2012France
France,Spain,2012,7431.0,2012France
France,Switzerland,2012,11382.0,2012France
India,Australia,2013,38123.0,2013India
India,Canada,2013,33078.0,2013India
India,Germany,2013,19455.0,2013India
India,New Zealand,2013,9055.0,2013India
India,United States,2013,67310.0,2013India
Mexico,Canada,2013,3995.0,2013Mexico
Mexico,France,2013,724.0,2013Mexico
Mexico,Germany,2013,3619.0,2013Mexico
Mexico,Spain,2013,3332.0,2013Mexico
Mexico,United States,2013,135068.0,2013Mexico
China,Australia,2013,27898.0,2013China
China,Canada,2013,34115.0,2013China
China,Japan,2013,93003.0,2013China
China,Korea,2013,178606.0,2013China
China,United States,2013,72092.0,2013China
Philippines,Australia,2013,11032.0,2013Philippines
Philippines,Canada,2013,29532.0,2013Philippines
Philippines,Japan,2013,16430.0,2013Philippines
Philippines,Korea,2013,11963.0,2013Philippines
Philippines,United States,2013,54272.0,2013Philippines
France,Belgium,2013,12571.0,2013France
France,Canada,2013,5623.0,2013France
France,Germany,2013,15215.0,2013France
France,Spain,2013,7287.0,2013France
France,Switzerland,2013,13463.0,2013France
India,Australia,2014,39642.0,2014India
India,Canada,2014,38330.0,2014India
India,Germany,2014,22374.0,2014India
India,New Zealand,2014,16214.0,2014India
India,United States,2014,76256.0,2014India
Mexico,Canada,2014,4477.0,2014Mexico
Mexico,France,2014,752.0,2014Mexico
Mexico,Germany,2014,4763.0,2014Mexico
Mexico,Spain,2014,3555.0,2014Mexico
Mexico,United States,2014,133158.0,2014Mexico
China,Australia,2014,27122.0,2014China
China,Canada,2014,24626.0,2014China
China,Japan,2014,98630.0,2014China
China,Korea,2014,192858.0,2014China
China,United States,2014,75868.0,2014China
Philippines,Australia,2014,10345.0,2014Philippines
Philippines,Canada,2014,40031.0,2014Philippines
Philippines,Japan,2014,19912.0,2014Philippines
Philippines,Korea,2014,10717.0,2014Philippines
Philippines,United States,2014,49213.0,2014Philippines
France,Belgium,2014,11969.0,2014France
France,Canada,2014,4716.0,2014France
France,Germany,2014,15723.0,2014France
France,Spain,2014,8095.0,2014France
France,Switzerland,2014,13839.0,2014France
India,Australia,2015,34710.0,2015India
India,Canada,2015,39525.0,2015India
India,Germany,2015,26113.0,2015India
India,New Zealand,2015,19537.0,2015India
India,United States,2015,62828.0,2015India
Mexico,Canada,2015,3231.0,2015Mexico
Mexico,France,2015,842.0,2015Mexico
Mexico,Germany,2015,4592.0,2015Mexico
Mexico,Spain,2015,3914.0,2015Mexico
Mexico,United States,2015,158321.0,2015Mexico
China,Australia,2015,27924.0,2015China
China,Canada,2015,19531.0,2015China
China,Japan,2015,100571.0,2015China
China,Korea,2015,177001.0,2015China
China,United States,2015,74390.0,2015China
Philippines,Australia,2015,11942.0,2015Philippines
Philippines,Canada,2015,50825.0,2015Philippines
Philippines,Japan,2015,23957.0,2015Philippines
Philippines,Korea,2015,9867.0,2015Philippines
Philippines,United States,2015,55954.0,2015Philippines
France,Belgium,2015,11977.0,2015France
France,Canada,2015,5807.0,2015France
France,Germany,2015,14908.0,2015France
France,Spain,2015,9020.0,2015France
France,Switzerland,2015,14767.0,2015France
India,Australia,2016,38552.0,2016India
India,Canada,2016,39795.0,2016India
India,Germany,2016,27683.0,2016India
India,New Zealand,2016,14733.0,2016India
India,United States,2016,63016.0,2016India
Mexico,Canada,2016,3400.0,2016Mexico
Mexico,France,2016,882.0,2016Mexico
Mexico,Germany,2016,4500.0,2016Mexico
Mexico,Spain,2016,3849.0,2016Mexico
Mexico,United States,2016,173543.0,2016Mexico
China,Australia,2016,29077.0,2016China
China,Canada,2016,26855.0,2016China
China,Japan,2016,103294.0,2016China
China,Korea,2016,165494.0,2016China
China,United States,2016,81913.0,2016China
Philippines,Australia,2016,11968.0,2016Philippines
Philippines,Canada,2016,41815.0,2016Philippines
Philippines,Japan,2016,26226.0,2016Philippines
Philippines,Korea,2016,9530.0,2016Philippines
