anio,pais,Remittance inflows (US$ million),aux,TAR (%),GDP (current US$),"Inflation, consumer prices (annual %)",Net migration,Remesa Per Cápita RPC (U$S),IVRTI,IVR-PBI (%)
2012,India,68820.51783765353,2012India,9.185403701595252,1827637579584.7917,9.47899691419793,180991.0,0.38024276255533995,7260.316514564117,3.7655451281149728
2013,India,69970.36084678584,2013India,1.6433286826262365,1856721494834.643,10.0178784746103,236387.0,0.29599919135479463,6984.548776881397,3.7684898376758063
2014,India,70388.6427965471,2014India,0.5942463629683304,2039126469963.3477,6.665656718679,310694.0,0.2265529517678072,10559.896161363784,3.451901774283392
2015,India,68909.69335283508,2015India,-2.146213938493994,2103588347241.7742,4.90697344127254,475094.0,0.14504433512701714,14043.21710267185,3.2758164611051157
2016,India,62744.36408995114,2016India,-9.826108451820858,2294796889945.045,4.94821634062142,-68119.0,-0.9210993128194944,12680.198231201712,2.7342011994557707
2017,India,68967.17549986654,2017India,9.022859591991622,2651474263257.154,3.32817337461301,219656.0,0.3139781089515722,20722.23040600637,2.601087872342578
2018,India,78790.1709286742,2018India,12.467285339055865,2702929639861.5024,3.93882646691634,561563.0,0.1403051321555626,20003.46336414208,2.9149915619968336
2019,India,83332.07800230315,2019India,5.45037059258672,2835606242052.484,3.72950573539126,593495.0,0.1404090649496679,22344.000496237564,2.9387746707027023
2020,India,83149.1729341043,2020India,-0.2199722038652284,2671595389575.7017,6.62343677628532,34772.0,2.3912680586133757,12553.78072480637,3.112341534146378
2021,India,89375.15221756576,2021India,6.966118802579015,3150306834279.648,5.13140747176369,301970.0,0.29597361399332967,17417.278341150148,2.8370300710090155
2022,India,111221.77472208794,2022India,19.642396966880604,3385089881935.3936,6.6990341407985,,,16602.658291398217,3.2856372681749275
2012,Mexico,23208.64919,2012Mexico,-1.021219852390722,1201093787127.416,4.11150981070293,48160.0,0.4819071675664452,5644.799662057014,1.932292834975588
2013,Mexico,23188.811955,2013Mexico,-0.08554657754133767,1274443916251.6384,3.80639069747207,101719.0,0.22796932682193102,6092.073514786682,1.819523924065826
2014,Mexico,24802.081325,2014Mexico,6.504572535103556,1315356131262.4836,4.01861608078673,100413.0,0.24700070035752342,6171.796664921637,1.885579177799922
2015,Mexico,26233.171803,2015Mexico,5.455270482528323,1171870072962.7612,2.7206406496403,82173.0,0.319243204008616,9642.277382890801,2.238573405725467
2016,Mexico,28690.957405999998,2016Mexico,8.566411947222132,1078493059306.9497,2.82170784747653,-33094.0,-0.8669534479361817,10167.94046614659,2.6602820628662265
2017,Mexico,32270.507679,2017Mexico,11.092327113680302,1158912015259.013,6.04145724018992,12438.0,2.594509380849011,5341.51056541874,2.7845519982625815
2018,Mexico,35768.416627,2018Mexico,9.77932287156257,1222405556421.1277,4.89935015356549,99430.0,0.3597346537966408,7300.645086771277,2.926067902678734
2019,Mexico,39021.789684999996,2019Mexico,8.337324054746254,1269009571610.7576,3.6359614212705,47764.0,0.816970724499623,10732.179240605024,3.0749799337974677
2020,Mexico,42878.274907000006,2020Mexico,8.994030730864193,1090514966785.9084,3.39683415569999,9949.0,4.309807508995879,12623.010998358272,3.9319290622278946
